times,Act,Risk
7AM,20,0.298095799
8AM ,30,0.338438678
9AM,25,0.448101994
10AM,0,16.72358114
11AM,0,32.99906028
12PM,20,33.29715608
1PM,28,33.35734058
2PM,0,49.63281972
3PM,0,65.90829886
4PM,0,82.18377801
5PM,0,98.45925715
6PM,30,98.49960003
7PM,55,98.49987186
8PM,33,98.5220125
9PM,30,98.56235538
10PM,35,98.57719669
11PM,30,98.61753957
~7AM,12,1.476478157
~8AM ,15,2.286786549
~9AM,11,4.090161042
~10AM,15,4.900469435
~11AM,13,6.109307508
~12PM,28,6.169492012
~1PM,19,6.533587042
~2PM,14,7.523299948
~3PM,15,8.333608341
~4PM,7,12.34709208
~5PM,29,12.39636699
~6PM,35,12.4112083
~7PM,18,12.85591498
~8PM,13,14.06475305
~9PM,21,14.30881325
~10PM,25,14.41847657
~11PM,10,16.62112315
