times,Deep,Light,Rem,Wake
1,0,0,0,95
1.1,0,0,0,90
1.2,0,0,0,89
1.3,0,0,0,88
1.4,0,0,0,81
1.5,0,50,0,0
1.6,0,45,0,0
1.7,35,0,0,0
1.8,30,0,0,0
1.9,25,0,0,0
2,20,0,0,0
2.1,15,0,0,0
2.2,10,0,0,0
2.3,20,0,0,0
2.4,25,0,0,0
2.5,30,0,0,0
2.6,0,40,0,0
2.7,0,45,0,0
2.8,0,55,0,0
2.9,0,50,0,0
3,25,0,0,0
3.1,10,0,0,0
3.2,3,0,0,0
3.3,1,0,0,0
3.4,0,0,0,0
3.5,1,0,0,0
3.6,0,0,0,0
3.7,1,0,0,0
3.8,5,0,0,0
3.9,15,0,0,0
4,0,40,0,0
4.1,0,50,0,0
4.2,0,0,60,0
4.3,0,55,0,0
4.4,0,0,70,0
4.5,0,0,60,0
4.6,0,50,0,0
4.7,0,45,0,0
4.8,0,40,0,0
4.9,35,0,0,0
5,35,0,0,0
5.1,25,0,0,0
5.2,15,0,0,0
5.3,10,0,0,0
5.4,0,0,0,0
5.5,0,0,0,0
5.6,5,0,0,0
5.7,20,0,0,0
5.8,24,0,0,0
5.9,30,0,0,0
6,35,0,0,0
6.1,0,40,0,0
6.2,0,0,60,0
6.3,0,0,65,0
6.4,0,0,70,0
6.5,0,0,65,0
6.6,0,0,70,0
6.7,0,0,72,0
6.8,0,0,75,0
6.9,0,0,78,0
7,0,0,77,0
7.1,0,0,0,85
7.2,0,0,0,83
7.3,0,0,0,90
7.4,0,0,0,88
7.5,0,0,0,85
7.6,0,0,0,87
7.7,0,0,0,90
7.8,0,0,0,92
7.9,0,0,0,95
